2020-03-21 20:59:05,618 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="1d0457d6-75bc-475d-89d1-cfa1bcb0bc8c")>
2020-03-21 20:59:05,618 INFO [root] [page_login.py (page_login:56] - [page_login]正在执行登录操作，用户名:ztt@qq.com,密码:123456
2020-03-21 20:59:05,618 INFO [root] [page_login.py (page_input_username:17] - [page_login]对：('xpath', "//*[@type='text']")元素输入用户名：ztt@qq.com操作
2020-03-21 20:59:05,618 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='text']")，默认时间:30
2020-03-21 20:59:05,624 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='text']")元素实行清空操作
2020-03-21 20:59:05,630 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='text']")元素实行输入操作
2020-03-21 20:59:05,671 INFO [root] [page_login.py (page_input_password:22] - [page_login]对：('xpath', "//*[@type='password']")元素输入密码：123456操作
2020-03-21 20:59:05,671 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='password']")，默认时间:30
2020-03-21 20:59:05,676 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='password']")元素实行清空操作
2020-03-21 20:59:05,682 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='password']")元素实行输入操作
2020-03-21 20:59:05,709 INFO [root] [base.py (base_click:27] - [base]:正在对:('xpath', "//*[@type='button']")元素实行点击操作
2020-03-21 20:59:05,709 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='button']")，默认时间:30
2020-03-21 20:59:05,941 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', "[class='one_head_span']")，默认时间:2
2020-03-21 20:59:08,375 INFO [root] [base.py (base_element_is_exist:55] - [base]:('css selector', "[class='one_head_span']")元素查找成功，存在当前页面
2020-03-21 20:59:21,611 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="c5bec2f9-b319-404d-984b-520c55eb96b9")>
2020-03-21 20:59:21,611 INFO [root] [page_login.py (page_login:56] - [page_login]正在执行登录操作，用户名:,密码:123456
2020-03-21 20:59:21,611 INFO [root] [page_login.py (page_input_username:17] - [page_login]对：('xpath', "//*[@type='text']")元素输入用户名：操作
2020-03-21 20:59:21,611 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='text']")，默认时间:30
2020-03-21 20:59:21,620 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='text']")元素实行清空操作
2020-03-21 20:59:21,624 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='text']")元素实行输入操作
2020-03-21 20:59:21,634 INFO [root] [page_login.py (page_input_password:22] - [page_login]对：('xpath', "//*[@type='password']")元素输入密码：123456操作
2020-03-21 20:59:21,635 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='password']")，默认时间:30
2020-03-21 20:59:21,645 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='password']")元素实行清空操作
2020-03-21 20:59:21,649 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='password']")元素实行输入操作
2020-03-21 20:59:21,705 INFO [root] [base.py (base_click:27] - [base]:正在对:('xpath', "//*[@type='button']")元素实行点击操作
2020-03-21 20:59:21,706 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='button']")，默认时间:30
2020-03-21 20:59:21,940 INFO [root] [base.py (base_get_text:43] - [base]:正在对:('css selector', '.ivu-message-notice-content-text')元素实行获取文本操作
2020-03-21 20:59:21,940 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('css selector', '.ivu-message-notice-content-text')，默认时间:30
2020-03-21 20:59:33,926 INFO [root] [base.py (__init__:14] - [base]:正在获取初始化driver对象:<selenium.webdriver.firefox.webdriver.WebDriver (session="9ca59a39-dbf3-4f8a-bb66-bde7f5eb3793")>
2020-03-21 20:59:33,926 INFO [root] [page_login.py (page_login:56] - [page_login]正在执行登录操作，用户名:ztt@qq.com,密码:
2020-03-21 20:59:33,926 INFO [root] [page_login.py (page_input_username:17] - [page_login]对：('xpath', "//*[@type='text']")元素输入用户名：ztt@qq.com操作
2020-03-21 20:59:33,927 INFO [root] [base.py (base_find_element:19] - [base]:正在定位元素:('xpath', "//*[@type='text']")，默认时间:30
2020-03-21 20:59:33,931 INFO [root] [base.py (base_input:35] - [base]:正在对:('xpath', "//*[@type='text']")元素实行清空操作
2020-03-21 20:59:33,937 INFO [root] [base.py (base_input:38] - [base]:正在对:('xpath', "//*[@type='text']")元素实行输入操作
